Fund Name:,SPDR® Gold Shares,,,,,,,,,,,,,,,,
Ticker Symbol:,GLD®,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,NAV,Shares Outstanding,Total Net Assets,,,,,,,,,,,,,,
05-May-2026,420.278476,361900000.0,152098780397.93,,,,,,,,,,,,,,
04-May-2026,425.804152,362500000.0,154354005069.99,,,,,,,,,,,,,,
01-May-2026,425.818151,362500000.0,154359079833.40,,,,,,,,,,,,,,
30-Apr-2026,423.475671,362500000.0,153509930615.84,,,,,,,,,,,,,,
29-Apr-2026,415.281394,363700000.0,151037842880.36,,,,,,,,,,,,,,
28-Apr-2026,419.217749,364300000.0,152721025809.65,,,,,,,,,,,,,,
27-Apr-2026,430.921284,365500000.0,157501729313.81,,,,,,,,,,,,,,
24-Apr-2026,432.717660,366300000.0,158504478988.86,,,,,,,,,,,,,,
23-Apr-2026,433.411385,367200000.0,159148660640.46,,,,,,,,,,,,,,
22-Apr-2026,435.524421,367800000.0,160185882089.78,,,,,,,,,,,,,,
21-Apr-2026,438.712289,369400000.0,162060319702.07,,,,,,,,,,,,,,
20-Apr-2026,442.097698,370900000.0,163974036026.73,,,,,,,,,,,,,,
17-Apr-2026,447.344009,371200000.0,166054096165.00,,,,,,,,,,,,,,
16-Apr-2026,440.284551,368500000.0,162244857069.48,,,,,,,,,,,,,,
15-Apr-2026,443.013152,368100000.0,163073141066.22,,,,,,,,,,,,,,
14-Apr-2026,440.399874,367300000.0,161758873776.97,,,,,,,,,,,,,,
13-Apr-2026,433.781283,366500000.0,158980840138.29,,,,,,,,,,,,,,
10-Apr-2026,438.489913,367100000.0,160969647109.11,,,,,,,,,,,,,,
09-Apr-2026,437.470072,368200000.0,161076480402.87,,,,,,,,,,,,,,
08-Apr-2026,440.227168,368400000.0,162179688551.69,,,,,,,,,,,,,,
07-Apr-2026,423.612511,368900000.0,156270655220.01,,,,,,,,,,,,,,
06-Apr-2026,426.158091,368900000.0,157209719864.48,,,,,,,,,,,,,,
02-Apr-2026,426.176773,367700000.0,156705199334.20,,,,,,,,,,,,,,
01-Apr-2026,435.338942,367700000.0,160074128898.75,,,,,,,,,,,,,,
31-Mar-2026,423.337403,366400000.0,155110824523.87,,,,,,,,,,,,,,
30-Mar-2026,416.063818,366000000.0,152279357229.33,,,,,,,,,,,,,,
27-Mar-2026,413.780029,367200000.0,151940026822.54,,,,,,,,,,,,,,
26-Mar-2026,409.401097,368300000.0,150782424112.64,,,,,,,,,,,,,,
25-Mar-2026,419.339605,368200000.0,154400842611.17,,,,,,,,,,,,,,
24-Mar-2026,405.467818,368400000.0,149374344165.38,,,,,,,,,,,,,,
23-Mar-2026,410.315211,368300000.0,151119092362.02,,,,,,,,,,,,,,
20-Mar-2026,419.178526,369800000.0,155012218868.94,,,,,,,,,,,,,,
19-Mar-2026,422.656802,371600000.0,157059267719.45,,,,,,,,,,,,,,
18-Mar-2026,447.436668,373300000.0,167028107992.37,,,,,,,,,,,,,,
17-Mar-2026,460.936531,374200000.0,172482449901.96,,,,,,,,,,,,,,
16-Mar-2026,458.924461,374600000.0,171913103006.53,,,,,,,,,,,,,,
13-Mar-2026,463.511485,374900000.0,173770455578.69,,,,,,,,,,,,,,
12-Mar-2026,471.373684,376400000.0,177425054530.25,,,,,,,,,,,,,,
11-Mar-2026,476.185016,376900000.0,179474132697.99,,,,,,,,,,,,,,
10-Mar-2026,478.699000,375600000.0,179799344395.68,,,,,,,,,,,,,,
09-Mar-2026,467.368852,374600000.0,175076371887.13,,,,,,,,,,,,,,
06-Mar-2026,471.171579,375400000.0,176877810779.50,,,,,,,,,,,,,,
05-Mar-2026,469.016525,376300000.0,176490918402.13,,,,,,,,,,,,,,
04-Mar-2026,473.112283,378100000.0,178883754110.81,,,,,,,,,,,,,,
03-Mar-2026,462.555461,384400000.0,177806319096.24,,,,,,,,,,,,,,
02-Mar-2026,488.322065,385200000.0,188101659748.20,,,,,,,,,,,,,,
27-Feb-2026,479.917751,385200000.0,184864317602.52,,,,,,,,,,,,,,
26-Feb-2026,474.871814,384000000.0,182350776687.67,,,,,,,,,,,,,,
25-Feb-2026,477.101567,383900000.0,183159291597.21,,,,,,,,,,,,,,
24-Feb-2026,470.552645,382700000.0,180080497196.67,,,,,,,,,,,,,,
23-Feb-2026,477.098175,380000000.0,181297306681.74,,,,,,,,,,,,,,
20-Feb-2026,464.409700,377300000.0,175221779961.29,,,,,,,,,,,,,,
19-Feb-2026,459.965673,377300000.0,173545048543.31,,,,,,,,,,,,,,
18-Feb-2026,459.832828,376200000.0,172989109934.18,,,,,,,,,,,,,,
17-Feb-2026,446.798455,376200000.0,168085578743.31,,,,,,,,,,,,,,
16-Feb-2026,459.090266,376700000.0,172939303206.02,,,,,,,,,,,,,,
13-Feb-2026,459.090266,376700000.0,172939303206.02,,,,,,,,,,,,,,
12-Feb-2026,463.526031,376400000.0,174471198083.26,,,,,,,,,,,,,,
11-Feb-2026,466.720870,378200000.0,176513832895.48,,,,,,,,,,,,,,
10-Feb-2026,462.456119,377500000.0,174577184989.29,,,,,,,,,,,,,,
09-Feb-2026,463.210604,377500000.0,174862003100.13,,,,,,,,,,,,,,
06-Feb-2026,454.807340,376300000.0,171144002125.75,,,,,,,,,,,,,,
05-Feb-2026,445.548053,376900000.0,167927061070.22,,,,,,,,,,,,,,
04-Feb-2026,458.228648,378300000.0,173347897595.28,,,,,,,,,,,,,,
03-Feb-2026,452.334892,378800000.0,171344456973.62,,,,,,,,,,,,,,
02-Feb-2026,433.379185,380100000.0,164727428231.21,,,,,,,,,,,,,,
30-Jan-2026,457.954556,380100000.0,174068528290.71,,,,,,,,,,,,,,
29-Jan-2026,496.869401,379900000.0,188760685515.92,,,,,,,,,,,,,,
28-Jan-2026,487.858882,381100000.0,185923020025.66,,,,,,,,,,,,,,
27-Jan-2026,465.547290,380200000.0,177001079573.61,,,,,,,,,,,,,,
26-Jan-2026,467.993738,379900000.0,177790821241.98,,,,,,,,,,,,,,
23-Jan-2026,454.717057,379900000.0,172747009909.85,,,,,,,,,,,,,,
22-Jan-2026,444.221015,377500000.0,167693433310.21,,,,,,,,,,,,,,
21-Jan-2026,447.393663,376800000.0,168577932354.36,,,,,,,,,,,,,,
20-Jan-2026,436.483758,378200000.0,165078157092.61,,,,,,,,,,,,,,
19-Jan-2026,423.927985,379600000.0,160923063278.22,,,,,,,,,,,,,,
16-Jan-2026,423.927985,379600000.0,160923063278.22,,,,,,,,,,,,,,
15-Jan-2026,423.914241,375800000.0,159306971619.00,,,,,,,,,,,,,,
14-Jan-2026,423.518891,375600000.0,159073695383.30,,,,,,,,,,,,,,
13-Jan-2026,425.045354,375600000.0,159647035012.14,,,,,,,,,,,,,,
12-Jan-2026,424.121287,374400000.0,158791009720.09,,,,,,,,,,,,,,
09-Jan-2026,413.179916,372100000.0,153744246563.42,,,,,,,,,,,,,,
08-Jan-2026,407.251600,373000000.0,151904846940.89,,,,,,,,,,,,,,
07-Jan-2026,408.051708,373000000.0,152203287205.82,,,,,,,,,,,,,,
06-Jan-2026,412.871441,373000000.0,154001047611.31,,,,,,,,,,,,,,
05-Jan-2026,409.753173,372300000.0,152551106159.45,,,,,,,,,,,,,,
02-Jan-2026,400.250884,372300000.0,149013404123.31,,,,,,,,,,,,,,
01-Jan-2026,396.120423,374200000.0,148228262258.13,,,,,,,,,,,,,,
31-Dec-2025,396.120423,374200000.0,148228262258.13,,,,,,,,,,,,,,
30-Dec-2025,401.629882,374700000.0,150490716880.74,,,,,,,,,,,,,,
29-Dec-2025,398.805840,374700000.0,149432548072.06,,,,,,,,,,,,,,
26-Dec-2025,412.041646,374400000.0,154268392292.78,,,,,,,,,,,,,,
25-Dec-2025,412.050677,373400000.0,153859722899.67,,,,,,,,,,,,,,
24-Dec-2025,412.050677,373400000.0,153859722899.67,,,,,,,,,,,,,,
23-Dec-2025,409.166955,372100000.0,152251024010.17,,,,,,,,,,,,,,
22-Dec-2025,406.618936,372100000.0,151302906124.10,,,,,,,,,,,,,,
19-Dec-2025,398.901020,367900000.0,146755685128.37,,,,,,,,,,,,,,
18-Dec-2025,398.514466,367900000.0,146613472146.40,,,,,,,,,,,,,,
17-Dec-2025,399.323679,367900000.0,146911181524.49,,,,,,,,,,,,,,
16-Dec-2025,397.681571,367600000.0,146187745576.88,,,,,,,,,,,,,,
15-Dec-2025,396.917877,367600000.0,145907011508.71,,,,,,,,,,,,,,
12-Dec-2025,399.791640,368100000.0,147163302537.55,,,,,,,,,,,,,,
11-Dec-2025,389.070878,367300000.0,142905733606.67,,,,,,,,,,,,,,
10-Dec-2025,386.297274,365900000.0,141346172474.77,,,,,,,,,,,,,,
09-Dec-2025,386.103745,366300000.0,141429801831.04,,,,,,,,,,,,,,
08-Dec-2025,385.211148,366700000.0,141256928064.95,,,,,,,,,,,,,,
05-Dec-2025,390.259958,367100000.0,143264430585.30,,,,,,,,,,,,,,
04-Dec-2025,386.362959,367100000.0,141833842535.88,,,,,,,,,,,,,,
03-Dec-2025,387.259703,365700000.0,141620873409.93,,,,,,,,,,,,,,
